offer_title,candidate_title,price_ratio,label
Samsung Galaxy A15 SM-A155M 128GB 4GB RAM Negro,Celular Samsung Galaxy A15 128 GB Azul Oscuro Dual SIM,1.3,true
Samsung Galaxy A15 128GB,Samsung Galaxy A25 5G 128GB,1.3,false
Samsung Galaxy A15 128GB,Funda para Samsung Galaxy A15 Silicon Case,0.1,false
Audífonos Sony WH-1000XM5 Negro,Sony Wh-1000xm5 Audífonos Inalámbricos Cancelación De Ruido,1.25,true
Audífonos Sony WH-1000XM5 Negro,Sony WH-1000XM4 Audífonos Bluetooth,1.1,false
"Pantalla Hisense 55"" 4K 55A6K",Smart TV Hisense 55A6K 55 Pulgadas 4K UHD Google TV,1.2,true
"Pantalla Hisense 55"" 4K 55A6K",Smart TV Hisense 65A6K 65 Pulgadas 4K UHD,1.6,false
Paquete de 2 Termos Stanley 1.4 L Clásico,Termo Stanley Clásico 1.4 L Verde,0.6,false
Termo Stanley Clasico 1.4 litros verde,Termo Stanley Clásico 1.4 L Verde Botella,1.2,true
Licuadora Oster BLSTPYG1210 600W 1.25 Litros,Licuadora Oster Xpert Series 1.25l Blstpyg1210 Plata,1.3,true
Apple iPhone 15 (128 GB) - Negro,Apple iPhone 15 128 GB Negro Reacondicionado,0.9,false
Consola Xbox Series X 1TB,Microsoft Xbox Series S 512GB Consola,0.7,false
Consola Xbox Series X 1TB,Consola Microsoft Xbox Series X 1 TB Negro,1.2,true
Lego Star Wars 75301 Ala-X de Luke,LEGO Star Wars Caza Ala-X de Luke Skywalker 75301,1.4,true
LEGO Star Wars 75301 Ala-X,LEGO Star Wars 75302 Imperial Shuttle,1.2,false
Samsung Galaxy Buds 2 Audífonos,Samsung Galaxy Buds 2 Pro Audífonos,1.3,false
Apple iPhone 15 128GB Negro,Apple iPhone 14 128GB Negro,0.9,false
Xiaomi Redmi 13 256GB,Xiaomi Redmi Note 13 256GB,1.1,false
Consola PlayStation 5 Slim,Consola PlayStation 5 Slim Digital,0.9,false
Samsung Galaxy S24+ 256GB,Samsung Galaxy S24 Plus 256 GB,1.2,true
Nintendo Switch OLED Blanco,Consola Nintendo Switch Oled 64gb Blanca,1.2,true
Freidora de Aire Ninja AF101 4 Qt Negra,Ninja Freidora De Aire 3.8l Af101 Negro,1.25,true
Aspiradora Bissell PowerForce Helix Bagless,Bissell Aspiradora Powerforce Helix Sin Bolsa,1.3,true
Taladro Dewalt DCD771C2 20V MAX,Dewalt Taladro Atornillador 20v Max Dcd771c2 Con Maletin,1.2,true
Monitor LG 27 Pulgadas 27GP850 QHD 165Hz,LG Monitor Gamer 27gp850 27 Pulgadas QHD 165 Hz,1.15,true
Kit Herramientas Truper 130 Piezas,Truper Kit De Herramientas 130 Pzas Con Estuche,1.3,true
Cafetera Oster BVSTEM6603 12 Tazas,Oster Cafetera Programable 12 Tazas Bvstem6603 Negra,1.2,true
Impresora HP DeskJet 2775 Multifuncional,HP Impresora Multifuncional Deskjet 2775 Wifi,1.15,true
Bocina JBL Charge 5 Azul,JBL Charge 5 Bocina Bluetooth Portatil Azul,1.2,true
Reloj Garmin Forerunner 55 Negro,Garmin Forerunner 55 Reloj Deportivo GPS Negro,1.25,true
Hielera Coleman 52 Litros Azul,Coleman Hielera 52 Litros Xtreme Azul,1.2,true
Audífonos Sony WH-1000XM5 Negro,Estuche Rigido Para Audífonos Sony WH-1000XM5,0.15,false
Consola PlayStation 5 Slim,Consola PlayStation 5 Slim Reacondicionada Grado A,0.75,false
Freidora de Aire Ninja AF101 4 Qt Negra,Freidora de Aire Philips Essential Airfryer 4.1L,1.3,false
Kit Herramientas Truper 130 Piezas,Kit Herramientas Truper 60 Piezas Con Maletin,0.7,false
Hielera Coleman 52 Litros Azul,Hielera Coleman 28 Litros Blanca,0.65,false
Reloj Garmin Forerunner 55 Negro,Reloj Garmin Fenix 7 Negro,2.2,false
Monitor LG 27 Pulgadas 27GP850 QHD 165Hz,LG Monitor 24 Pulgadas 24GL600 Full HD 144Hz,0.8,false
Impresora HP DeskJet 2775 Multifuncional,HP Impresora Laser M111w Monocromatica,1.4,false
Cafetera Oster BVSTEM6603 12 Tazas,Cafetera Oster BVSTEM6603 Reacondicionada 12 Tazas,0.7,false
Bocina JBL Charge 5 Azul,Bocina JBL Go 3 Azul,0.35,false
